epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,276.792,2.4355,2.30027,0.00453,0.66639,0.44194,0.48527,0.24212,2.08701,1.29895,0.00511,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919
2,535.381,2.28113,1.42238,0.00386,0.70956,0.46977,0.5321,0.26089,2.0921,1.20479,0.00511,0.0197897,0.00659657,0.0197897,0.00659657,0.0197897,0.00659657,0.0197897,0.00659657
3,864.225,2.27518,1.32938,0.00388,0.72679,0.47097,0.53458,0.25415,2.17204,1.21319,0.00537,0.0293938,0.00979794,0.0293938,0.00979794,0.0293938,0.00979794,0.0293938,0.00979794
4,1142.41,2.29112,1.34358,0.00392,0.7378,0.47523,0.54458,0.27308,2.08725,1.17292,0.00534,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1353.73,2.22904,1.28159,0.00389,0.76267,0.5038,0.5746,0.28826,2.04443,1.12379,0.00507,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1585.45,2.20654,1.24176,0.00378,0.75502,0.50901,0.57579,0.28749,2.05594,1.10728,0.00503,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1885.11,2.20826,1.21461,0.00372,0.76959,0.51421,0.58685,0.29998,2.01592,1.09329,0.00494,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2083.58,2.19318,1.18581,0.00362,0.76805,0.52029,0.59244,0.30501,1.99353,1.10658,0.00489,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3786.49,2.17344,1.18226,0.00366,0.78661,0.52945,0.60702,0.31078,1.98106,1.03541,0.00477,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4015.77,2.15536,1.17467,0.00362,0.77833,0.53792,0.61364,0.31371,1.97703,1.04045,0.00477,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4525.23,2.15968,1.15322,0.00358,0.78864,0.5389,0.61921,0.32235,1.95957,1.02008,0.00472,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4800.56,2.14216,1.14434,0.00355,0.78852,0.54388,0.61855,0.31879,1.96449,1.0491,0.00474,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5036.06,2.14379,1.14408,0.00351,0.79429,0.54075,0.62215,0.32335,1.95178,1.01368,0.00469,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5245.45,2.1093,1.12815,0.00348,0.80564,0.55275,0.63553,0.33208,1.91851,0.99034,0.00459,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6654.13,2.11319,1.121,0.0035,0.79189,0.54854,0.62458,0.32282,1.93928,1.05462,0.00464,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
